"filename", "language", "JavaScript", "JavaScript React", "CSS", "JSON", "Markdown", "HTML", "SQL", "comment", "blank", "total"
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/occurrenceToEdit.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/program.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/programToEdit.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/programsByTeacher.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/programsByTeacher.reducer.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/settings.reducer.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/staffToEdit.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/student.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 5, 17
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/studentToEdit.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/teacher.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/user.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/_root.saga.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 6, 3, 26
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/admin.saga.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 28, 14, 183
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/login.saga.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 20, 10, 67
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/registration.saga.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 6, 7, 30
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/settings.saga.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 4, 21
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/teacher.saga.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 4, 8, 87
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/user.saga.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 8, 6, 32
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/store.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 8, 6, 29
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/utility/formatDateForField.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 5, 20
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/utility/getHumanReadableTime.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/utility/getMonthDDYYYY.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1420, 1988, 398, 195, 100, 20, 135, 414, 719, 5389
